customer_state;avg_payment
PB;250,15362976406533
AC;235,9789156626506
AP;233,93927536231882
AL;229,18683698296834
RO;226,99482071713146
RR;220,47609756097563
PA;216,1340978593272
PI;208,87335317460318
SE;204,32886627906979
TO;203,41481355932206
MA;201,09835374149662
MT;199,60585258525853
CE;198,70542132736762
RN;197,11996086105677
MS;186,17941828254848
PE;185,40767246550692
AM;182,75615894039734
BA;169,75900086132643
GO;163,30934049829017
SC;162,58082491122644
DF;161,5995191409897
RJ;158,08139418640417
RS;155,44776334776336
MG;154,12382328024398
ES;153,61830270793038
PR;152,4506823942289
SP;136,38711803914154
